ano,semana,regiao,hidraulica,termica,eolica,solar,total
2024,36,sudeste e centro-oeste,"19623,73","9430,82","9,35","4693,52","33757,42"
2024,36,norte,"2596,39","2976,75","383,62","500,57","6457,33"
2024,36,nordeste,"3243,61","1371,64","15506,47","2882,26","23003,98"
2024,37,sul,"10249,58","976,23","994,3","1130,36","13350,46"
2024,37,sudeste e centro-oeste,"19249,06","10237,29","17,81","4905,78","34409,94"
2024,37,norte,"3096,43","2626,69","348,52","486,76","6558,4"
2024,37,nordeste,"3203,99","1527,31","15419,92","3022,98","23174,2"
2024,38,sul,"8759,14","1534,28","700,44","1304,16","12298,02"
2024,38,sudeste e centro-oeste,"18423,19","10226,77","9,56","5211,73","33871,25"
2024,38,norte,"3157,85","3056,25","358,93","512,54","7085,57"
2024,38,nordeste,"3193,88","1702,96","14526,61","3215,42","22638,88"
2024,39,sul,"9760,97","1641,84","988,7","1044,4","13435,92"
2024,39,sudeste e centro-oeste,"18754,3","10172,08","12,35","4951,65","33890,38"
2024,39,norte,"3380,32","3177,84","304,62","553,59","7416,37"
2024,39,nordeste,"3223,66","1603,88","12356,87","3735,13","20919,53"
2024,40,sul,"9292,59","1610,36",670,"1407,93","12980,88"
2024,40,sudeste e centro-oeste,"19311,48","10014,27","10,57","4827,67","34163,99"
2024,40,norte,"3293,41","2976,98","287,45","533,66","7091,51"
2024,40,nordeste,"3262,16","1468,92","11774,84","3073,08",19579
2024,41,sul,"8890,26","1514,86","818,43","1415,96","12639,51"
2024,41,sudeste e centro-oeste,"19549,58","9714,31","7,23","4240,12","33511,24"
2024,41,norte,"3048,47","2789,54","356,2","548,6","6742,81"
2024,41,nordeste,"2825,8","1414,86","14639,86","3383,1","22263,62"
2024,42,sul,"9000,4","1170,71","904,79","1704,27","12780,16"
2024,42,sudeste e centro-oeste,"19966,62","8941,53","7,71","4259,09","33174,95"
2024,42,norte,"3212,52","2531,14","349,29","532,05","6624,99"
2024,42,nordeste,"3018,84","437,42","14797,3","3636,01","21889,57"
2024,43,sul,"10123,7","1470,52","916,86","1175,21","13686,29"
2024,43,sudeste e centro-oeste,"20806,18","7599,32","9,87","3788,71","32204,08"
2024,43,norte,"3689,59","2073,05","341,36","526,65","6630,65"
2024,43,nordeste,"3078,47","512,34","16033,42","3436,33","23060,56"
